p.geomean	stat.mean	p.val	q.val	set.size	EC3_10.signal	EC3_09.signal	EC3_08.signal	EC3_07.signal	EC3_06.signal	EC3_05.signal	EC3_04.signal	EC3_02.signal	EC3_01.signal
Chronic myeloid leukemia	0.124447787555998	0.994879034927693	0.00160416805650662	0.00381732583816854	40	0.370864191663224	0.305228424559744	0.0623757397221857	0.111570457557824	0.109374767915047	0.0532762776750939	0.10621494489063	0.150412557749299	0.450873029726609
Acute myeloid leukemia	0.125785361992424	0.975405065140338	0.00197639802019277	0.00465994762559213	36	0.27651623472406	0.296306035440771	0.0218231164682491	0.15998518735145	0.263855913907019	0.0177314485171467	0.0683164738353515	0.390510067400903	0.498215800094667
Longevity regulating pathway	0.158832300398663	0.95550207329224	0.00219798767329254	0.00513529847305621	49	0.177908278000065	0.150643292886745	0.1544428408525	0.0963834245114103	0.258194023621823	0.15547604303993	0.120316162003388	0.204158052412769	0.272489499978249
Insulin resistance	0.154898636181501	0.942687621167957	0.00252028009493841	0.00583524310269523	43	0.105824115490704	0.144955501062028	0.163634648380501	0.155683810574368	0.268341676961141	0.108659780967884	0.136101727568616	0.222179404713732	0.344739140350829
Prolactin signaling pathway	0.139686921747198	0.936922481936517	0.00277018686502532	0.00635658950278131	33	0.220355838870418	0.129497746480272	0.155035706965157	0.0812183696729183	0.118552805263594	0.047942805513103	0.18354582407885	0.386453579397579	0.511255776159018
Intestinal immune network for IgA production	0.150990278507786	0.941842390998839	0.00283631535140097	0.00644285232473301	21	0.0240881405549894	0.33758697482206	0.339091351439855	0.069340776706488	0.293628921608689	0.183115457748914	0.298700433427687	0.0937761902299297	0.237154354994195
Rheumatoid arthritis	0.132823061718011	0.932043049145452	0.00285791893003721	0.00644285232473301	46	0.0487864411984268	0.304152342746837	0.451699717562741	0.0377823844269382	0.237902661944056	0.179803495823576	0.0759947197897095	0.19510744412422	0.381177213569581
Oocyte meiosis	0.139960327494921	0.923559631092176	0.0029841196548318	0.00666885870688497	58	0.147984023001254	0.314747242065395	0.254033830365214	0.102003482367713	0.141399172015954	0.28220727901525	0.379167459593416	0.0661562108048759	0.0924406729554344
Circadian rhythm	0.154450782702512	0.953013024746801	0.0030410007293596	0.00673738954694326	11	0.234194877858284	0.0863844061420196	0.0480593042457142	0.294553251129786	0.379952454154345	0.0369612252580814	0.291965985415014	0.21371107801996	0.307320549791688
Amphetamine addiction	0.134250768493727	0.92892854544431	0.00314073127610002	0.0068810009531129	28	0.365152106889678	0.356054336863674	0.303505122732167	0.0446820590817771	0.0303727320759199	0.297072814606919	0.141801482050786	0.238082975431138	0.140435087935868
TGF-beta signaling pathway	0.152082905436758	0.923378955910812	0.00315937008742149	0.0068810009531129	29	0.19412445711677	0.366299012549081	0.0955839019426036	0.178576716571578	0.218881139378364	0.0667691118245532	0.0831284139918292	0.252546819223374	0.332582789005732
Hematopoietic cell lineage	0.135033255516403	0.917852520197284	0.00335256230399417	0.00724040766492858	36	0.0290838375457	0.465413437971451	0.447457812686292	0.0207297043914597	0.238669279738104	0.364180914691348	0.275473750061067	0.0779793189281215	0.181892968847507
Cell cycle	0.14157731534498	0.889916904717596	0.00402366423801615	0.00861734757641793	61	0.275376206845945	0.66841516638776	0.19862737019872	0.115497747932682	0.0379615294523889	0.229407704161966	0.171111158275342	0.114442213695312	0.140932135394234
MicroRNAs in cancer	0.152910838980279	0.875019324714744	0.00452911449574012	0.00961968946615876	78	0.452603123257315	0.233835891261074	0.148360361235699	0.169319471274127	0.100265907775742	0.120622902124999	0.040842673093427	0.371833691067434	0.321349029679801
Melanogenesis	0.152014415630058	0.878992902164572	0.0046877507738562	0.00987501597443479	32	0.272200684276832	0.228047822526555	0.373830080383988	0.0380445468876395	0.195186608899338	0.204555732006514	0.211171657822942	0.171420152656733	0.180940401560273
Prostate cancer	0.156129203483609	0.855411939777808	0.00549324122337036	0.0114777479220015	46	0.138113470204479	0.25673772266552	0.118067511621433	0.0957892099308842	0.217438934183168	0.12704971814667	0.0830404735629963	0.375308436474205	0.590007655084286
FoxO signaling pathway	0.164666843133178	0.851718715640824	0.00554338740214935	0.0114891174383257	64	0.329228653196303	0.230853506002425	0.289208475090473	0.12619910808799	0.122051951139055	0.115849608755284	0.228008087446718	0.120132931148402	0.322398816811073
Cholinergic synapse	0.166267698243806	0.844058616843881	0.00610713628692532	0.0125562722059185	41	0.24854444424957	0.420705963795465	0.431483998205783	0.0220745152310676	0.16867868000054	0.215187672881416	0.0939670259490366	0.20184273907859	0.289953596023319
Amyotrophic lateral sclerosis (ALS)	0.158997134414715	0.848125125480154	0.00629618056293535	0.0128422095609078	26	0.290367922822201	0.360542539486954	0.159238008518671	0.140014953768513	0.175935553734355	0.0927506351859379	0.103300278480167	0.406915043093156	0.228229633479499
Parathyroid hormone synthesis, secretion and action	0.150903751603775	0.838349137832209	0.00655395732851225	0.0132627325466744	40	0.396819263019565	0.346678155844125	0.46449758076352	0.0240646365164506	0.0312799654063632	0.259706973733295	0.05828510283676	0.344834932655053	0.402821087801812
Estrogen signaling pathway	0.146124039524289	0.832361599550697	0.0066427723226272	0.0133374413040249	56	0.226210551114708	0.334695970754644	0.553036413665439	0.0472295607951591	0.0940761602747743	0.144977181744514	0.0639655431396911	0.368812418417628	0.315931680223537
cGMP-PKG signaling pathway	0.175650685855412	0.824468477068239	0.00696125033864247	0.0138128483743545	69	0.293542174006707	0.342834280863538	0.420179086412191	0.0241824452555789	0.149352387254398	0.269898066620301	0.166682547499916	0.214661459775553	0.199240981565028
Dopaminergic synapse	0.182374363110542	0.82489108020438	0.00698704392477077	0.0138128483743545	50	0.165030986231269	0.258158027281853	0.288755487060238	0.0639331025704451	0.124505384903121	0.319225814614561	0.42550913724857	0.174069927949521	0.178127347702514
Central carbon metabolism in cancer	0.169462977285381	0.828202668621739	0.00714915983168561	0.0139912449290394	31	0.270211121595256	0.265511198359624	0.145956567300373	0.342451015879663	0.148021130678812	0.0306934431872216	0.154302754244589	0.251000009630586	0.481835608194629
Vibrio cholerae infection	0.178651948364538	0.827250305626709	0.00718616471063502	0.0139912449290394	28	0.309779087503072	0.213220029948005	0.331884376667833	0.0400042357384099	0.198485412303534	0.416714038249411	0.285789459315794	0.158681348151265	0.106867024894364
Pertussis	0.161275781460261	0.815322169977738	0.00815004611068992	0.0157485853417091	27	0.211772109786495	0.283551518696661	0.484051328857339	0.0599781542452782	0.100732366005434	0.333625813443255	0.122223053751577	0.272766189424506	0.222703105332234
Asthma	0.160661392846113	0.825641337720827	0.00851754436822276	0.016335887333084	15	0.0169437955637634	0.551748868453243	0.290044038369276	0.0836455025359566	0.429358865690359	0.134977166266655	0.351986614613763	0.162726820821766	0.278314273125328
Choline metabolism in cancer	0.175453475295222	0.795340312188363	0.00901410382617143	0.0171149054212723	39	0.242716376275056	0.3522525292045	0.237818659820891	0.0736780544633426	0.258170550744274	0.105416584981604	0.146330063718737	0.27062792150085	0.38494674402099
Aminoacyl-tRNA biosynthesis	0.181766493858152	0.802274467481014	0.00905691493110129	0.0171149054212723	21	0.325664480362121	0.159707772292176	0.0842721927830423	0.208934841133154	0.288419617900427	0.145815066103925	0.288467689762319	0.187049454503079	0.346050412470678
Vasopressin-regulated water reabsorption	0.198938681173364	0.800316391907408	0.00917645674105152	0.0172142290689799	17	0.108077554264508	0.195216142702925	0.370188888183062	0.095908615008872	0.263933076042577	0.286008709490091	0.1714500197093	0.253089115989532	0.296866649871756
Thyroid cancer	0.179435766178667	0.79740092544147	0.00939014281085582	0.0174874398723909	22	0.46781669378284	0.189208160482942	0.10996099507059	0.185809379559942	0.27911929719877	0.107903715928339	0.235348041765573	0.204347165719556	0.275227276979414
Regulation of lipolysis in adipocytes	0.180162056344885	0.798089170396432	0.00955091919245107	0.0176588937587045	19	0.117763485302736	0.4874078969627	0.317655103100969	0.0613719727913664	0.155651693725024	0.35044315542664	0.0650742865879402	0.189153874844383	0.498392982991691
Progesterone-mediated oocyte maturation	0.178070787949266	0.786056116484419	0.00976423122196354	0.0179243387431759	41	0.092904036068038	0.349598672734655	0.252895268495425	0.261385840948183	0.120963465409473	0.294856531638849	0.186472554963977	0.213225137624509	0.275520507423916
Glucagon signaling pathway	0.188721707172845	0.765641421038249	0.0114177697297721	0.0208111122024924	42	0.385225288137616	0.35797807488977	0.294908891313291	0.0502292155377087	0.222308590392065	0.233671994636529	0.246379919308687	0.153904011746669	0.213553978708793
Calcium signaling pathway	0.189733372580739	0.751395364225393	0.012618606625607	0.0228379007238098	56	0.392329563073223	0.452178221999471	0.374727181239296	0.0267333478215852	0.0699433109882528	0.420277743766337	0.222459399837326	0.268275141791746	0.156246359948998
Small cell lung cancer	0.194046430474654	0.751042926457259	0.0128770151576175	0.023142607660893	35	0.261454231310885	0.595179509511959	0.11760423203037	0.199651592628827	0.134139330164934	0.120427184676682	0.0666189155751642	0.296943972165762	0.521033221107301
Citrate cycle (TCA cycle)	0.180104913742978	0.757913817060455	0.0143497505657345	0.0256103187180123	14	0.279321089502092	0.264443298483979	0.0708521560542032	0.431579521075378	0.307048621256894	0.205666320587944	0.283091734917705	0.128052438242637	0.251026282647074
Adrenergic signaling in cardiomyocytes	0.205521360292545	0.725353933508698	0.01521906524972	0.0269744811667451	61	0.12713545772931	0.189654248511229	0.305143678020423	0.0623700817824109	0.344294745699921	0.449364809870049	0.179270900863037	0.312825522172804	0.310322832621278
Mitophagy	0.185012743043083	0.721784866551779	0.0163952596572334	0.0288601488486917	29	0.40656783574089	0.150573005463439	0.267689600211953	0.0824989366083431	0.223769419769124	0.162117924176882	0.0769609592486522	0.484162033883084	0.534091025539693
p53 signaling pathway	0.206490124456228	0.713076790460266	0.0169767534718792	0.0296804465460744	38	0.2695532316344	0.279720457266286	0.0842084959100959	0.167179261484774	0.262022709421226	0.241634108287737	0.244144512855004	0.312551638668565	0.381511975090791
Ras signaling pathway	0.211220634686114	0.685393385242499	0.020313918918123	0.0352748456889028	86	0.302218389541513	0.270619422911982	0.428066243398204	0.241344009185013	0.241224910481448	0.233959642421999	0.321617424603594	0.130717962973872	0.132372339881272
Aldosterone synthesis and secretion	0.230497722537072	0.685809586491544	0.0205631672149277	0.0354680132499089	37	0.262068365398687	0.242669564671161	0.299332953989442	0.149560759174264	0.306431568667124	0.240748268251715	0.127326672066783	0.355194508319551	0.306056763587733
Wnt signaling pathway	0.200809508079947	0.670198668608804	0.0230197971278461	0.0394405857457097	52	0.409575262134967	0.567248971338938	0.248406865520091	0.0571949572718011	0.25381587905346	0.319644571173059	0.211630007953046	0.180711000833112	0.205285129962029
Adipocytokine signaling pathway	0.243921704741479	0.660868135459832	0.0245843704040342	0.0418422728068661	31	0.244489496614344	0.354687156395158	0.162699932511338	0.166315402090571	0.347849352951197	0.162231620597003	0.304844270316175	0.308637146104936	0.309312451623351
Renin secretion	0.220890268856326	0.618521732036541	0.0347697071235354	0.0587882548075565	20	0.449453712184457	0.449953984774928	0.574450675345468	0.063392430051168	0.141610262561924	0.543013526998106	0.211952962198037	0.187920369226574	0.114612504917306
Staphylococcus aureus infection	0.21944138151967	0.614418313271598	0.0350182228494772	0.0588214592961807	25	0.0318129320859975	0.337006350324664	0.609227704478561	0.288813447341643	0.498009985357983	0.358579421200263	0.267184504646171	0.153135960486097	0.192597561707153
Fatty acid degradation	0.2507845249624	0.604000064879105	0.0391037509804707	0.0652575584544218	11	0.254049615348884	0.283878935155382	0.197234975435468	0.409461298210198	0.278600307129284	0.275879393118929	0.508066450646887	0.265538672787208	0.118672664273965
Melanoma	0.270069708978072	0.585575447507673	0.0404989611823444	0.0671498904765322	32	0.25836573835899	0.342573596513657	0.350647655289309	0.22274533058595	0.263065843613983	0.225349258988528	0.354882463297907	0.170020647033902	0.3744923787972
Signaling pathways regulating pluripotency of stem cells	0.241932324487291	0.584256666544126	0.040986619819953	0.0675228288059482	39	0.126098043412831	0.167320849116856	0.219370597044728	0.269820687071529	0.371408028733139	0.0970200795803865	0.260732650925939	0.514185081910231	0.695616666986731
Vascular smooth muscle contraction	0.232319385965329	0.575819508089784	0.0434369371649676	0.0711037761235457	42	0.299547205674104	0.362558398627332	0.71604948115967	0.0622825761489011	0.151732144032005	0.484271982268328	0.223517215841043	0.2400270863533	0.223853660448512
Gastric acid secretion	0.248361714486122	0.569705244221173	0.0456813401730314	0.0743044583827156	29	0.336780560700503	0.580979183210332	0.510432841479619	0.0692360152091472	0.204499991297862	0.370667933127332	0.225286438490802	0.201833420930471	0.258734654920324
Mineral absorption	0.246718667135895	0.571167797695731	0.0462740783306135	0.0747952083708658	17	0.315416831602616	0.264268774126262	0.270791380331541	0.144173431395621	0.110934333455942	0.143408144533529	0.252396383246829	0.488004049482055	0.764359988012846
Relaxin signaling pathway	0.222908194981245	0.563976889076843	0.0467208990573204	0.075045444110821	47	0.225447633605654	0.337078234981451	0.48343276194539	0.136629482945549	0.171276038880267	0.25629889991013	0.0493667531996962	0.58534111325941	0.624885550511708
RIG-I-like receptor signaling pathway	0.27664010044455	0.550669471940488	0.0506861553721471	0.0806089177456429	28	0.233812353374077	0.329237437124648	0.319689069886934	0.237493687717093	0.298704198271324	0.199572564573278	0.278573016357069	0.35890803851625	0.403754816574598
Cytosolic DNA-sensing pathway	0.265078550716325	0.551525002550196	0.0508118469836348	0.0806089177456429	25	0.421224310142526	0.466800845201849	0.340702101784624	0.18357187889947	0.131111485818346	0.605687771435171	0.194601374135987	0.21056395963685	0.212420372503576
Aldosterone-regulated sodium reabsorption	0.260169007953406	0.548260640748183	0.0532485377485439	0.0839562834440232	17	0.279131341802395	0.403074680581764	0.252348083670617	0.293599382138075	0.320173179041565	0.0938315883610695	0.253744714812689	0.36834099379904	0.492883298862486
Basal transcription factors	0.28180837194116	0.540648205929754	0.0542746800293551	0.0850523949240504	21	0.246770854629199	0.189257330682005	0.338126757828995	0.180559970352608	0.282136152922388	0.376092910298995	0.537877781681251	0.26626548727783	0.309671603158441
RNA polymerase	0.264177023561358	0.535460236737654	0.0573946608849268	0.0893965324086435	18	0.341380441827391	0.355488440467286	0.419116396661357	0.244663131304113	0.315034838857836	0.496798644622941	0.44646327206951	0.0786452451531483	0.154385588968067
Breast cancer	0.261738016358497	0.522669587174095	0.0594997479846891	0.0921170797112355	50	0.494441389681449	0.410360234631867	0.360675119625638	0.182864007096694	0.12719701188265	0.155951565606169	0.337724183689255	0.276014318884165	0.49566533985593
