p.geomean	stat.mean	p.val	q.val	set.size	HAART_32.signal	HAART_31.signal	HAART_30.signal	HAART_29.signal	HAART_28.signal	HAART_27.signal	HAART_26.signal	HAART_25.signal	HAART_24.signal	HAART_23.signal	HAART_22.signal	HAART_21.signal	HAART_20.signal	HAART_19.signal	HAART_18.signal	HAART_17.signal	HAART_16.signal	HAART_15.signal	HAART_14.signal	HAART_13.signal	HAART_12.signal	HAART_11.signal	HAART_10.signal	HAART_09.signal	HAART_08.signal	HAART_07.signal	HAART_06.signal	HAART_05.signal	HAART_04.signal	HAART_03.signal	HAART_02.signal	HAART_01.signal
Endometrial cancer	0.130990974247716	-1.01189061585604	8.3817908861587e-09	5.25395184815313e-08	30	0.0878755030166301	0.106335545456069	0.101100890758217	0.126275578001505	0.458436924665515	0.174467911456766	0.124376024255744	0.314204586918761	0.084277971682332	0.14087530184315	0.112440530304144	0.0592300039532698	0.218651834946091	0.26532205671183	0.13950544274765	0.17929999473182	0.0431691799293589	0.0977892566473313	0.0724939538412416	0.0460652810893227	0.0884011423115298	0.0780239482709027	0.106748750535302	0.0634782524862417	0.167651910543359	0.392820599147112	0.351450946406823	0.76106207949845	0.708077278666225	0.0718916828124112	0.232254312739917	0.0893236187785489
Alcoholism	0.068689411659897	-0.997898981434812	1.33987547568018e-08	8.19876183928112e-08	65	0.0170834834613144	0.0835992562090904	0.010536101261868	0.107992485357514	0.665446938074312	0.725703178051285	0.00839440695133777	0.0908753572484627	0.0361256032101496	0.0518928182519737	0.2388902945476	0.17843934618416	0.267185196590114	0.309911073733536	0.0668295430872486	0.0494317605700634	0.0210799008465869	0.0205634493105916	0.11056378052926	0.0243867400980625	0.0141751644182732	0.0263995989815893	0.649868950796154	0.0102790223786189	0.464426203576577	0.984516751103794	0.458907498069191	0.949791761815842	0.881652113312015	0.0689912514503029	0.233970617529208	0.0498343660911935
cAMP signaling pathway	0.130855877029023	-0.979074753547484	1.90071585765788e-08	1.13600924515831e-07	72	0.13425443793868	0.130527389076447	0.0525747336890424	0.133698289365313	0.310146723572255	0.0924364326394668	0.0170081213380311	0.165980645741511	0.0639042921793267	0.125392940827078	0.308004815058589	0.126437888074801	0.11795352185585	0.267590402534866	0.252973503294946	0.144581132585822	0.0612139423639114	0.107430404346601	0.159710734522701	0.101933068843942	0.148999135578207	0.0587614268847756	0.32614386239858	0.0866017418713128	0.212441429021307	0.332071388742873	0.411124229687198	0.611173072539343	0.652033120164356	0.058692296110455	0.244631554481863	0.188593338283114
Estrogen signaling pathway	0.126622163897236	-0.978548923967626	2.13780762526718e-08	1.24867399930379e-07	56	0.0825145935559939	0.0983267719228098	0.0854043656408927	0.371478404714486	0.331607767020699	0.117712165789934	0.0576517091787802	0.267928248186866	0.0897877634087753	0.11496083251385	0.181168207972982	0.159491461633733	0.151082883702896	0.212872534756539	0.247620540924771	0.19069841014949	0.0878050305595075	0.103915767753375	0.0905848132057608	0.0594659738098414	0.121728333419466	0.151222213380692	0.299060633803567	0.039904514479376	0.195549437558654	0.379390870846038	0.295216639778198	0.490442261211036	0.341397363573716	0.154661219089779	0.200243769872191	0.162094610165059
GnRH signaling pathway	0.112772866542252	-0.98047763258987	2.32378739326913e-08	1.32714080015592e-07	42	0.0631449643407269	0.0511839726497092	0.0453920246109819	0.309399110369257	0.538044398727247	0.29024649476127	0.0274162443939458	0.241405658680482	0.171248306010318	0.0742557641961515	0.320835512232535	0.325658005462114	0.181250840905557	0.113185532803021	0.190447709084175	0.0783055252362277	0.0713832225614089	0.0345199151856074	0.0295334870930335	0.0915980929646626	0.05607115113508	0.100005167376938	0.36144470400612	0.013748363566832	0.207701850518735	0.517937019625774	0.207578024731844	0.642415126392309	0.582102260663005	0.246106096770319	0.369641645815308	0.214013747741611
Protein processing in endoplasmic reticulum	0.0989907939370886	-0.952462242228925	4.61417431127807e-08	2.57791912608362e-07	80	0.0177929813869235	0.064925389399751	0.0235679675959168	0.0480911285554928	0.315917571705957	0.656574201834139	0.0808907040746531	0.414780996497033	0.0901864371810368	0.052423489746481	0.111741241042474	0.199577603218523	0.128606002496337	0.206661511764451	0.131914998523434	0.412363943033522	0.044059560063399	0.0872466958556005	0.0243305095954452	0.0194817903239174	0.0235189953726344	0.148079400572754	0.201548404391178	0.0341281801657424	0.224858558074896	0.768682973943018	0.579071573774729	0.980615306239074	0.729539922651216	0.158053392447713	0.23120421375583	0.100791757196291
Leishmaniasis	0.141114868619828	-0.931944604445047	9.68194778801826e-08	5.29417145004403e-07	43	0.145199216377532	0.179902464823799	0.065970874944034	0.156343089627053	0.131072054322798	0.237352415739456	0.105428122635208	0.110981692253994	0.207802227188845	0.0858935102702409	0.278976123240235	0.157296914453618	0.0659377648071907	0.201039906239708	0.124899003343439	0.0642255841017115	0.167830839230791	0.105965085881352	0.114479584011004	0.219324223141665	0.214339593492541	0.0431909364104754	0.496793381569058	0.0999054626812479	0.1146896586149	0.738633262767861	0.130170595878455	0.57889699658254	0.392089208149728	0.210938342910356	0.297595625574959	0.218403058252187
Renal cell carcinoma	0.130019545586538	-0.92347169206962	1.26189900957119e-07	6.75641761374574e-07	39	0.0731025764795644	0.044938967135923	0.0584203486584606	0.10586935359043	0.319398546240532	0.242752318733609	0.0745271402235282	0.404204178357461	0.0913823285043165	0.113824060585098	0.124753767620692	0.0846119387346634	0.107748912298568	0.250734168848709	0.0532417922806375	0.125228503015386	0.0760875364320417	0.126186494126249	0.146274017447939	0.0888098803603669	0.05558059861345	0.0776907865212534	0.106164120421252	0.0642243386651382	0.406216190542663	0.708905201958923	0.572060442763313	0.914190198698436	0.744785634855959	0.111685058875042	0.301809661589453	0.263250938174823
Cholinergic synapse	0.1506295885549	-0.911544110461996	1.68020256530932e-07	8.81249100580601e-07	41	0.163229366791401	0.0832784232662068	0.116367706102826	0.314622615611589	0.26845200276405	0.158449810487877	0.122390745720361	0.399012096490763	0.0870092770360271	0.163160087312726	0.194168659616418	0.189329868422673	0.148815821814155	0.277049884407043	0.170701823721987	0.0675256087366037	0.122543353998134	0.168406767238448	0.0434386430339817	0.128232910012609	0.121609430400231	0.145470679763171	0.485369457412518	0.0318547315557817	0.17194936066944	0.248915160098197	0.316995942060548	0.737175965478941	0.49224231358607	0.105026509744695	0.251053287227121	0.129928452239895
Salmonella infection	0.134585304538742	-0.913339976575933	1.77080531854876e-07	9.10193933734063e-07	39	0.0908572336524916	0.0998429155244686	0.0549808607644865	0.105478857664283	0.305942886888868	0.383288345161013	0.0447151404254557	0.278904702943397	0.186683089317431	0.0638027345353946	0.211436272545264	0.174449951662592	0.183814081787755	0.267546065010616	0.170544974318131	0.0967443894071874	0.194153219465393	0.163482405725953	0.189132110865336	0.129022199467185	0.0744969705332128	0.0606519802967344	0.38042281382972	0.0623159242430143	0.144192437411504	0.775856151545566	0.179628648117392	0.881065587926082	0.480654002968533	0.0525990818034616	0.18599255728841	0.15035592830053
Inflammatory bowel disease (IBD)	0.145298384028607	-0.90557074743591	2.33327223444707e-07	1.17578620441744e-06	30	0.134579675375879	0.152075997834515	0.114942402775109	0.126180634697732	0.0971760819097366	0.443780449680583	0.136387710017807	0.0706270661781404	0.181583868561114	0.0726385246314883	0.254859130430269	0.15890212098941	0.0726143964433854	0.250953996892668	0.12603539884343	0.224758298142657	0.185452929887599	0.0980802342066967	0.0910576543385715	0.120087258297735	0.131551901050567	0.0620887686023903	0.429529229643087	0.131738608749052	0.0713947833587325	0.816683441422289	0.17550313708293	0.777312423863467	0.549980680987266	0.139583342011841	0.22294963918861	0.192190274703283
Neurotrophin signaling pathway	0.142207100939656	-0.880587204944541	3.91374334889767e-07	1.9342923858975e-06	64	0.0856239804194499	0.152005719214826	0.122460198426299	0.340222759054316	0.505695419454035	0.277513734349788	0.0555770123567023	0.552623173499414	0.220518261901942	0.146320429232271	0.397340018644951	0.316137685284178	0.131876526834009	0.135212153355612	0.189475411386598	0.225236978644329	0.116594138253783	0.0359393853052249	0.0680643056047557	0.0591621993096378	0.0559997264955936	0.0647608974265571	0.195244936697169	0.0121024595127145	0.165885215540144	0.483346477865771	0.193331762517131	0.702823156865451	0.656184461774777	0.17629845878626	0.319623668099307	0.179882891958487
Circadian entrainment	0.165185095836666	-0.878559972155172	4.80421737832514e-07	2.32959220043313e-06	29	0.108271295388011	0.153226760456619	0.102751139486353	0.142773188149325	0.240820268281878	0.378749703267006	0.184557370632119	0.438625423078109	0.233126490532791	0.224199581494738	0.0992411695940672	0.128050184779025	0.177650799116826	0.225720410564011	0.107386137317047	0.243098492847441	0.0389217094188099	0.132921881797001	0.171100106654361	0.188967131586219	0.084283901729711	0.0920828439613239	0.476543951124146	0.0774094301013026	0.182370934209785	0.389778420944885	0.412105189449105	0.616387701069439	0.370653851142742	0.101609213371174	0.212325918940786	0.129562103348572
HIF-1 signaling pathway	0.132139310216408	-0.874097333267871	4.91294320036084e-07	2.33819704165322e-06	55	0.0502543738549394	0.0805841369250915	0.027942622313714	0.0466216989412318	0.390051996302175	0.31734029038012	0.0904561624074255	0.363158511198221	0.142652385140539	0.0395505718274592	0.15974582857557	0.095614865778472	0.0681445076510489	0.203858140271143	0.390937330731437	0.357916871100234	0.0952427642568865	0.127720851710879	0.17157438340262	0.147814271987475	0.151560352960607	0.03547518536867	0.336037247422986	0.0719736877278188	0.239336965813607	0.603439773387521	0.522785602986282	0.887251270129609	0.810386239751627	0.124541059597549	0.210049413771365	0.133010876903484
Pertussis	0.154994103461729	-0.872051684398778	6.88173672952344e-07	3.21564788997732e-06	27	0.0817527302824493	0.14328172062423	0.0877577895786558	0.253758214034359	0.307233612272964	0.203824490372849	0.0425234504024267	0.280932744669726	0.321650480885648	0.130824716551954	0.287214636903603	0.262623084725011	0.106725525113579	0.0862547074905421	0.197714342656313	0.0918323176131015	0.15819096553515	0.111553399340354	0.252628426893555	0.160407563380064	0.0654231824037095	0.0503322609088781	0.348347827283718	0.116110600522172	0.187403619399013	0.727384133680782	0.18507095831294	0.522015635354635	0.425535280346527	0.159229416472441	0.30907390763358	0.417030771335326
Prostate cancer	0.15136473365144	-0.859597786799144	7.52657245488877e-07	3.45415914447574e-06	46	0.157389253353618	0.0722637346921159	0.254783880510007	0.362662185382028	0.559338542030659	0.136170947911008	0.137796118016582	0.268598316800768	0.140136205489569	0.182040471034223	0.251067739750321	0.176519234369029	0.290759784222531	0.230744640974531	0.315576535878987	0.154640425004976	0.121729579726304	0.0658792578939946	0.0368146553718369	0.106410498797012	0.147952811394481	0.106847058351937	0.177174496102751	0.0748901131480915	0.202048965092924	0.324219806326648	0.281163092082259	0.572001770743242	0.526960437799276	0.107163262090143	0.297927341269114	0.170120697182752
African trypanosomiasis	0.167462156884311	-0.869014871064328	1.11064970422402e-06	5.00766621027322e-06	12	0.264018447453139	0.363600753170652	0.122132979339743	0.0728308926875395	0.092827500989232	0.407388998825097	0.17478423001799	0.199895164856267	0.165786429598544	0.220442646730176	0.128977418250547	0.205809086825297	0.121879229507648	0.179078170509045	0.16765744813346	0.118403957852952	0.318708729896138	0.209933154928863	0.265299448902349	0.313168215824487	0.267219867014799	0.118385764920902	0.288511426318664	0.254861783569037	0.21804213373476	0.342077121973563	0.339021800665781	0.418783966943129	0.259313189232144	0.0748727128162778	0.125937840076809	0.0722805169686106
Hepatitis C	0.11706572302016	-0.83165059384227	1.53789125430127e-06	6.81444917854183e-06	71	0.0322222601080395	0.169884153174957	0.0453932587519878	0.0374787397478576	0.518567599238412	0.573785828768229	0.0692421364421253	0.77996004780252	0.115638320631117	0.0432874411257078	0.120272232252082	0.227310883956344	0.11119211082343	0.333953979225398	0.0713086193952172	0.68062246072399	0.0790312346109458	0.0513097135851277	0.136007006833244	0.00594305078421781	0.0214003659168686	0.0888449729503839	0.319553325763214	0.0432965991700667	0.152806015342426	0.853922685516253	0.508736901544031	0.993016592823959	0.855791145051515	0.105626958578564	0.192353144598571	0.0808011338877844
Chemokine signaling pathway	0.120461028440186	-0.828315298141041	1.7242833791634e-06	7.51086149906768e-06	72	0.0584258370026431	0.0550918577598829	0.127934860536869	0.303957568952556	0.569402916151662	0.458428523912596	0.0468283066980246	0.577864652831585	0.205674397863995	0.0492972733663438	0.0495063081765287	0.248850739536585	0.132670281305098	0.174974614149789	0.191380287898431	0.347269667624542	0.0442161492923026	0.0397492641030598	0.0865832762991931	0.0633598132967592	0.0405026979329822	0.0257144978012081	0.396511168820576	0.0197010455620695	0.373281247704545	0.666868946918534	0.410648410668521	0.963357153141292	0.853705210164977	0.0438892204620873	0.404800762662929	0.368325810001263
Parkinson disease	0.0517510860091024	-0.831088406047522	1.81146005982408e-06	7.75908725624648e-06	63	0.00196277674541621	0.0622676475890838	0.0012709140671386	0.00752475547982338	0.704400372325691	0.881999229659194	0.0153470281346115	0.522929631616531	0.170911587204576	0.00202332356881144	0.0265407692894427	0.109744687496351	0.1708020114917	0.182059575776201	0.285452022048183	0.621871410402447	0.0145397705092885	0.0775772078356858	0.120265711238303	0.0103576264806476	0.00191336941798879	0.026253502745233	0.313532009142237	0.0251513620329074	0.337183394117167	0.999362463096829	0.764179644343047	0.999981059944219	0.998704399048003	0.272928945610414	0.140997779771959	0.0724389767168191
FoxO signaling pathway	0.144776873997389	-0.822286321416739	1.9807528708138e-06	8.3451391442483e-06	64	0.104818872775259	0.0751556668095382	0.0430432690863904	0.277479117229999	0.443043357729679	0.401568779472	0.0212684789456844	0.15741878455346	0.10144189682531	0.0523902832489845	0.126999803867513	0.0894497290582659	0.339397716091061	0.551525075517335	0.307933351555213	0.248853291682796	0.1376799507773	0.105503302555321	0.102811667565319	0.0318910497872632	0.132780358665043	0.12902850394572	0.181533703907986	0.116947616857989	0.562996766007393	0.354317522377067	0.427242177522046	0.853891810904948	0.864047911280771	0.0908236119694235	0.33922164044718	0.152730313734109
Long-term potentiation	0.107194341726216	-0.835280952434504	2.01720962918685e-06	8.3616592693713e-06	28	0.0478034058611508	0.0864313509412288	0.016831255502722	0.155219961522998	0.717825936373026	0.468334504239591	0.00992405249971169	0.227760808733054	0.110946250439631	0.042754920901097	0.171012920063651	0.222636549983691	0.255980290201658	0.381079892270192	0.278414650997997	0.387455393893017	0.0399737872835088	0.0268110693162942	0.100990157084797	0.0214964595212478	0.0286955037223242	0.0413375288939439	0.552456445484422	0.0139055351083653	0.381881350870882	0.765597925790136	0.558666349499181	0.986820160305048	0.970118945559585	0.0665453492107066	0.32338397639395	0.191307896945043
Thyroid cancer	0.15574663258264	-0.825100793305023	2.57584456960053e-06	1.05078103871006e-05	22	0.0927335388694447	0.146656836786636	0.0516111544417028	0.147111535959575	0.702984851162614	0.347834772004803	0.133262359853126	0.38376902729265	0.100561609459694	0.0907700956728634	0.203425988846117	0.204440955924465	0.412159008578771	0.168313120771558	0.208403555984816	0.161535250986476	0.0413342755324825	0.0631992888151919	0.245119391760769	0.0222347943743638	0.0339608714105293	0.161561612312907	0.20756818311441	0.0441571917523783	0.29756863035662	0.588327722506169	0.437790316033226	0.845468776683658	0.713386649230983	0.205923452033514	0.270364751022616	0.273214785038204
Pathogenic Escherichia coli infection	0.0812902283540012	-0.830318816160421	2.80367268230286e-06	1.12584981148724e-05	31	0.00281949008731039	0.0495950840064009	0.00706860834651157	0.0482578048424065	0.607998003311819	0.80592036668619	0.0100108155805768	0.486671260788382	0.138473246363928	0.00999421748788216	0.381259923390426	0.3879995508766	0.11556013631738	0.516145227730727	0.251425573178462	0.484695413423013	0.0105980864435284	0.0148068294022875	0.104973468878962	0.00214846648429685	0.00331949371389819	0.045420332685245	0.746150110813284	0.0278198061668841	0.163462737217646	0.970671997667676	0.658856523422766	0.997990478774577	0.964805119752369	0.152398690360721	0.432816843728452	0.264380678138765
Alzheimer disease	0.0854920339677824	-0.804306839349102	3.24589924296617e-06	1.2833786237574e-05	75	0.005501346382508	0.128967494129797	0.00396629067163534	0.0156460134473989	0.597734947913422	0.722095169651554	0.0242477371284315	0.796155935936463	0.170456619307409	0.0137673733462253	0.0707446928328697	0.148566205123148	0.115273682740951	0.120725353030148	0.172979238204137	0.642841955265726	0.0248526623595822	0.0491644458410461	0.12919627659947	0.025280910299776	0.00415171795962722	0.0683738131332045	0.306000656872211	0.0450659865366718	0.201569875006246	0.99475415989098	0.7983373732187	0.999637483945334	0.99382871754368	0.165799140262736	0.111809344232098	0.0922286969354938
TGF-beta signaling pathway	0.176929282436069	-0.789832741013696	5.29357360816085e-06	2.06128548075354e-05	29	0.138677683250693	0.0982675999214165	0.155754089595961	0.0540218742512242	0.3608186567231	0.164555009274082	0.213479732814804	0.336090694194306	0.209796487184653	0.142122753615225	0.218635476007193	0.186518756487937	0.244258995723976	0.356247380094084	0.332993872013221	0.471448428826861	0.178587304418816	0.215300515412549	0.0952026574743543	0.143136406217407	0.200163531108428	0.0797047130834785	0.148363038667362	0.177625230885145	0.193288624465689	0.333700837987704	0.378056985301646	0.692087585825945	0.572265120068159	0.0523004051406972	0.165803130001412	0.328502786021585
Rheumatoid arthritis	0.17489242055034	-0.785932012968518	5.42420746169319e-06	2.08062883232112e-05	46	0.137215606130038	0.317395175865063	0.185068362065248	0.160684779572825	0.274236180060518	0.472312437731138	0.0900284072647149	0.429473693420143	0.328337803289364	0.199764157760087	0.183961227280005	0.210842830349459	0.0866289514027807	0.284113519331478	0.14750023516252	0.200664057184499	0.167997856340702	0.127169552927161	0.184736236042334	0.157459576302684	0.0828218415205581	0.115524508970195	0.586379357214968	0.14605968298118	0.0644991030095255	0.687613009382677	0.156399487320202	0.418250949708579	0.315149139863966	0.186523110395523	0.187350284126026	0.306421733293256
Dopaminergic synapse	0.171320876210296	-0.783325391743394	5.62395353303285e-06	2.12552361469036e-05	50	0.129789572169607	0.0689706897889294	0.121536595375184	0.265825299108151	0.4808065766272	0.299236883652929	0.036080155720986	0.100065215207385	0.215079383875652	0.161068561380887	0.192342889438784	0.276073487960146	0.15133571359968	0.305740827698845	0.289477628988214	0.189557769791425	0.125888355562316	0.143016943415272	0.0744549264460463	0.169776371893434	0.112524504853782	0.111275510672235	0.482644189279091	0.0249111269578021	0.351798929572211	0.617670719131909	0.257601410294344	0.816161686890641	0.650116397887795	0.23840163186655	0.29709194736073	0.20314586032191
Human cytomegalovirus infection	0.0758559843490467	-0.782803381005773	5.71639307041709e-06	2.12914930303941e-05	103	0.00752189137095094	0.0345742914572997	0.0257073751751598	0.197738773227324	0.659300886814945	0.57953362067732	0.0038745190621912	0.585562771327278	0.238024647265908	0.0186347556005752	0.201812109536868	0.43659334079949	0.258804529670375	0.426909791233045	0.176727354891372	0.372158567714293	0.0308451501717661	0.049760199028835	0.0525451082708201	0.0107383369058684	0.00764286670603613	0.0258289470689886	0.729179280459569	0.00608881119548067	0.339308994942755	0.918229643830761	0.360484244384622	0.999876791857482	0.930470690715677	0.0570313039828143	0.526370049210725	0.269439680706612
Spliceosome	0.072856220002222	-0.777264006728134	6.92546111561007e-06	2.54263358101684e-05	81	0.005472423747018	0.0459873161574345	0.00872412153345469	0.0916554583997623	0.801516427455578	0.702524013459457	0.0308554875061229	0.435135919565755	0.157101720353734	0.0166995281557346	0.105270752213209	0.41937096286151	0.241233858411624	0.110966017548954	0.343405087066841	0.322992935575004	0.00530678147371373	0.0217701671384558	0.0423773091268272	0.017162896609133	0.00995846045251761	0.0398933190652173	0.479787423823174	0.0221907772637806	0.313052084572247	0.963905135249914	0.488741420967815	0.997229170698235	0.998480165483598	0.212167244814029	0.522012534275287	0.366299903068445
RNA degradation	0.122244012335265	-0.776734037137632	7.29079290564331e-06	2.63906165739483e-05	49	0.0321622722818299	0.042204898136686	0.128242442973417	0.0626126222913796	0.635497393643397	0.465059821087654	0.0603734094030746	0.469945007519004	0.127225636996084	0.023315905136506	0.0655703612262586	0.211037793717239	0.16513488390134	0.222284679116485	0.296327025004966	0.379317346877174	0.0785317739434582	0.0796827253437174	0.093981393684084	0.0853215080991331	0.106869457796306	0.0348681548182161	0.171343080531303	0.115388246843888	0.270220792174983	0.69707453307682	0.414536982885068	0.965168771799413	0.947774198998595	0.24483769905368	0.482910308797138	0.28536009799299
Acute myeloid leukemia	0.188342691044488	-0.762556365394138	9.76622602933512e-06	3.4860001243599e-05	36	0.1530565755001	0.0873061728404066	0.169511335531519	0.263228230254026	0.676252227103062	0.321081442518078	0.169470823321778	0.318098044003385	0.104234688346452	0.268570080364829	0.0973111998869026	0.0952218532123475	0.58290018765531	0.160147125991813	0.410723379913208	0.264649374088456	0.0997856594716327	0.0980764704891869	0.148363315717519	0.114961117065091	0.110089551821268	0.20194181184589	0.160410528411086	0.114067462448446	0.0846088682165254	0.352993429872003	0.460588571516212	0.707195951286695	0.710170659379802	0.137486251275455	0.169292288005745	0.226795863158074
Gastric cancer	0.201942378517205	-0.732868938449306	1.88620674302821e-05	6.64048127340069e-05	57	0.302448783083505	0.269711112999238	0.323116887466762	0.368056596947506	0.474394004440999	0.254595839053186	0.210078558548778	0.503751147586025	0.183073749600028	0.194281081470636	0.255008394844144	0.0842677655875978	0.402260947576283	0.494647425380605	0.244106587772941	0.137134273704546	0.0645823522948256	0.138434262978781	0.194915014465529	0.116008526304508	0.13615780241132	0.157718595972754	0.321790965826266	0.0876515991583958	0.134348979273194	0.188111044605095	0.293996552507645	0.649895837258308	0.582849492273107	0.120689664986401	0.12794810270521	0.117225330197543
Cellular senescence	0.0831219137179215	-0.73344554384605	2.13031354916297e-05	7.39852138020114e-05	82	0.0156350572873799	0.0223437321092884	0.0142061280571528	0.0996398784697508	0.830261996283415	0.612096569968972	0.00892940930917305	0.311381208535568	0.241589089744236	0.0237060957311022	0.31088864423245	0.471950751289556	0.633442896741386	0.661260546681704	0.25247271757367	0.292439051652706	0.0297420423533348	0.0223913835699516	0.213227016000887	0.00320256918672686	0.00176489433132892	0.0211242498615414	0.441165442686338	0.00390809215427504	0.657877359465816	0.866710455498015	0.474804923236389	0.995504118774896	0.984616370055618	0.128086291174657	0.622306314173154	0.335030979214083
NOD-like receptor signaling pathway	0.163387510343332	-0.726967002132634	2.23108766529065e-05	7.64519373306264e-05	69	0.0312095332113658	0.16718084451986	0.029372512851728	0.0911384662506123	0.336503362694983	0.571493727201673	0.0613042692133934	0.671578207022494	0.333372353398461	0.0574204961890378	0.232586721613871	0.207886711992226	0.0945200818450855	0.304625585087294	0.128914770817464	0.328063368801378	0.135771483189324	0.102638812120696	0.178859892182307	0.113725978297692	0.101709250023727	0.0544588815765687	0.421712472753672	0.105166006277344	0.384526873758475	0.912235046778176	0.287071818152667	0.937601911795302	0.810052897902523	0.0785495302977212	0.225995018564901	0.250693531824293
Transcriptional misregulation in cancer	0.195567858590514	-0.720306644476921	2.51818947340088e-05	8.51545650873718e-05	73	0.168038440987848	0.183686634488084	0.182271099608598	0.252399814193542	0.556077523068173	0.315735226727069	0.183015335593912	0.151985084662862	0.162628770534144	0.222783249883289	0.437590113040795	0.441117943130535	0.265568139699743	0.15456275118903	0.379495117137278	0.105565355763187	0.276926458657204	0.0575313987431423	0.304739347539829	0.162085109756484	0.16387003178249	0.114103435533476	0.171999527747844	0.031877692450536	0.443101482375448	0.264627187182918	0.199245870758614	0.4535045686391	0.594469149119592	0.116360165160689	0.325684487744032	0.426777197152006
Apelin signaling pathway	0.160158507808855	-0.702968009752162	4.20084115719676e-05	0.000140209893168775	48	0.122538905065623	0.0926709506259655	0.0307432842745004	0.265905708646333	0.559024629024232	0.51132942882319	0.0861716767929665	0.378298273313799	0.281072180939874	0.157344778192698	0.157124449950287	0.356594284344213	0.238969616609563	0.125198013907019	0.18884751468114	0.143768130081797	0.0963198393445789	0.0628350721702457	0.102676401024693	0.031830482331949	0.0530056422759719	0.167788119386427	0.562063366700248	0.0989381231605938	0.33587983803016	0.552546767603139	0.452421271187711	0.925728140213747	0.879564658860026	0.196782405332747	0.398252743723932	0.332820600398194
Necroptosis	0.0817507381321006	-0.699738070790638	4.37308063727734e-05	0.000144087400484651	80	0.0132523971387062	0.0842098639316412	0.0032945149205829	0.0371698658885249	0.618209141628756	0.856579358752183	0.020597556922697	0.283873852356359	0.124779478758608	0.0337232082770825	0.0786012933985722	0.162786476841619	0.260964584718043	0.601999529053635	0.226724698683857	0.333419742386374	0.0613287768590454	0.0466038969106987	0.138866246853204	0.0250782219408805	0.0214597207644705	0.0353704442079357	0.761006656710534	0.0294432165425919	0.422534672128614	0.991152350596923	0.603703706019533	0.999745574599214	0.993085055536069	0.0405914015213077	0.310797589898435	0.220792290979597
Epithelial cell signaling in Helicobacter pylori infection	0.214534689401779	-0.679584587435622	7.47517599598936e-05	0.000243179776072059	30	0.104045541614598	0.191412626384657	0.137719497000239	0.167201705163354	0.357802433347251	0.566035255176218	0.0581804962849897	0.29668768882387	0.249235555751798	0.167707662458409	0.349210420952887	0.37433506700264	0.123840869850914	0.339392926408702	0.191993952235629	0.196929440155398	0.153189381655031	0.108657912629409	0.20567343008169	0.200367017084404	0.0967570646607819	0.110090493408156	0.472099138293883	0.119700072070317	0.335689528960476	0.591347763302201	0.205142410168717	0.548299088987057	0.596179926649542	0.396317456932434	0.398671500526538	0.324004277000425
Gap junction	0.211181463697996	-0.675209858136304	8.10936225192795e-05	0.000260513262343186	28	0.0822202701725002	0.0615967591592975	0.0994992525868862	0.263340966684951	0.208737239222105	0.483770973253043	0.209985487688969	0.585776519949816	0.306470681385615	0.143687432000709	0.326524113426983	0.370542736050438	0.142268074751267	0.11885850556358	0.166770237175597	0.262584554494371	0.124161293298498	0.123837592117985	0.138223415142204	0.172577984314967	0.0957134740412845	0.18514615416106	0.446982486175567	0.204454068939461	0.301403864883061	0.741181804035216	0.466938540755641	0.788115923490705	0.488915793800793	0.255565863733429	0.205720653576708	0.249816137172419
JAK-STAT signaling pathway	0.203385319863657	-0.668981597277758	8.34319057639867e-05	0.000264716046683266	70	0.0869078248045555	0.0800736225797666	0.147724688580068	0.2416604550145	0.313471614940474	0.391301315753588	0.212025195874306	0.263053772920406	0.211925727796109	0.171357331791578	0.105345219330763	0.159005419430675	0.157972175364982	0.189494706860383	0.224656559707204	0.51888860321103	0.100824920207679	0.119941474629138	0.202084772916286	0.139377266063984	0.132731189461295	0.113795314912585	0.305809223841664	0.19462015526409	0.270602415671875	0.441698862151901	0.572308865277256	0.847827249442839	0.809845136868439	0.26339450164115	0.361718534794739	0.389143035918591
Huntington disease	0.0652638795985287	-0.671918220828135	8.80907110857182e-05	0.000276089179866215	84	0.00765513614481747	0.107204039674341	0.0062838933165678	0.0279076171781948	0.867125517787829	0.834766579032667	0.027194394558452	0.682909912498213	0.201206781920405	0.0146797112447411	0.148032085038598	0.362073820090005	0.210408969747685	0.186390529724331	0.349681640171966	0.590444076360058	0.0112667300998635	0.0648646222855744	0.0575617901759888	0.00307248205957747	0.00192702862318848	0.164588825558354	0.540924116521508	0.0109869406901806	0.152358950478463	0.998099940319855	0.749898369750111	0.999864222362203	0.997591060458184	0.366991491802869	0.201959555562856	0.119732392743768
Protein export	0.117626032664908	-0.694436758904439	9.71006219436647e-05	0.00030066096192195	17	0.0105463287431179	0.0797891559665291	0.00635549543756167	0.0487213157007149	0.688781077313088	0.843069595143372	0.0347726837593575	0.616314607416561	0.128188992634016	0.0087179851727401	0.154773094003809	0.319563999522321	0.268978831391634	0.349785216190146	0.351482868366683	0.765029046622207	0.00888825400116149	0.0228754510502555	0.0759271742443042	0.0126204424899629	0.0109256278740835	0.0980796334867794	0.272269726458564	0.0682967232597721	0.661415870978313	0.983135007478544	0.828449076885478	0.991468315040565	0.950717749944368	0.240874462834981	0.355472021670974	0.392602159717927
